model_key,brand,warranty_months,coverage_summary_th,coverage_detail_th,exclude_th,warranty_start_rule_th,required_docs_th,claim_steps_th,notes_th
Trident,HITOKI,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Saber,HITOKI,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Angus Enhanced Halogen,YLL,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Yllvape รุ่น IH 2.0,YLL,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Yllvape รุ่น IH 3.0,YLL,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Dr. Dabber Switch 2,Dr.Dabber,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Dr. Dabber XS™,Dr.Dabber,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Dr. Dabber Ghost 2,Dr.Dabber,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
The M 2021 / 2022 / Plus / M7 / M7 XL / Twotonium,Dynavap,,,"กลุ่มสินค้า (Category): M Series
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
VonG 2021 / VonG (i) / Vong X,Dynavap,,,"กลุ่มสินค้า (Category): VonG Series
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
HyperDyn / UniDyn / Omni,Dynavap,,,"กลุ่มสินค้า (Category): High-End (Ti)
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
The B / The B2,Dynavap,,,"กลุ่มสินค้า (Category): B Series
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
G3 / BB Series,Dynavap,,,"กลุ่มสินค้า (Category): Glass Series
ประกันชิ้นส่วนโลหะ (Metal Parts): -
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): ไม่มีประกัน",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
The Wand (Ispire),Dynavap,,,"กลุ่มสินค้า (Category): Induction
ประกันชิ้นส่วนโลหะ (Metal Parts): 1 ปี (ตัวเครื่อง)
ประกันฝา (The Cap): -
ประกันแก้ว (Glass): ไม่มีประกัน (ถ้วยแก้ว)",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
CloudV - Globe,CloudV,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
CloudV - Haze,CloudV,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
CLOUD V : TRANSPORTER,CloudV,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Puffco Peak Pro (v2) / 3DXL,PUFFCO,24.0,,"ประกันฐานเครื่อง (Base/Battery): 2 ปี
ประกันห้องอบ (Chamber/Atomizer): 1 เดือน",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Puffco Proxy,PUFFCO,24.0,,"ประกันฐานเครื่อง (Base/Battery): 2 ปี
ประกันห้องอบ (Chamber/Atomizer): 1 เดือน",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Puffco Pivot,PUFFCO,24.0,,"ประกันฐานเครื่อง (Base/Battery): 2 ปี
ประกันห้องอบ (Chamber/Atomizer): 1 เดือน",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Puffco New Peak (รุ่นใหม่),PUFFCO,24.0,,"ประกันฐานเครื่อง (Base/Battery): 2 ปี
ประกันห้องอบ (Chamber/Atomizer): 1 เดือน",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Puffco Peak (Original/OG),PUFFCO,12.0,,"ประกันฐานเครื่อง (Base/Battery): 1 ปี (รุ่นเก่า)
ประกันห้องอบ (Chamber/Atomizer): 1 เดือน",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Mininail รุ่น Flower Wand,Mininail,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Mininail with Black Controller Set,Mininail,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Coil Caddy,Mininail,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Pax Plus : Dry-Herb Vaporizer (Complete Set),PAX,120.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Pax Plus : Dry-Herb Vaporizer (Starter Set),PAX,120.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Pax Mini : Dry-Herb Vaporizer,PAX,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
PAX - FLOW,PAX,36.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
PAX - New Mini,PAX,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Arizer Solo 3,Arizer,24.0,,"ประกันตัวเครื่อง (Defects): 2 ปี
ประกันตัวทำความร้อน (Heater): ตลอดชีพ
ประกันแบตเตอรี่: 1 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
