model_key,brand,warranty_months,coverage_summary_th,coverage_detail_th,exclude_th,warranty_start_rule_th,required_docs_th,claim_steps_th,notes_th
Arizer Solo 3 (2.0),Arizer,24.0,,"ประกันตัวเครื่อง (Defects): 2 ปี
ประกันตัวทำความร้อน (Heater): ตลอดชีพ
ประกันแบตเตอรี่: 1 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Arizer Solo 2,Arizer,24.0,,"ประกันตัวเครื่อง (Defects): 2 ปี
ประกันตัวทำความร้อน (Heater): ตลอดชีพ
ประกันแบตเตอรี่: 1 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Arizer Air MAX,Arizer,24.0,,"ประกันตัวเครื่อง (Defects): 2 ปี
ประกันตัวทำความร้อน (Heater): ตลอดชีพ
ประกันแบตเตอรี่: ไม่รวม (ถอดเปลี่ยนได้)",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Arizer ArGo,Arizer,24.0,,"ประกันตัวเครื่อง (Defects): 2 ปี
ประกันตัวทำความร้อน (Heater): ตลอดชีพ
ประกันแบตเตอรี่: ไม่รวม (ถอดเปลี่ยนได้)",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Arizer Air SE,Arizer,12.0,,"ประกันตัวเครื่อง (Defects): 1 ปี
ประกันตัวทำความร้อน (Heater): ตลอดชีพ
ประกันแบตเตอรี่: ไม่รวม (ถอดเปลี่ยนได้)",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
G-Pen Elite II,G-PEN,24.0,,ระยะเวลารับประกัน (Warranty Period): 2 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
G-Pen Hyer,G-PEN,12.0,,ระยะเวลารับประกัน (Warranty Period): 1 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
G-Pen Dash+,G-PEN,12.0,,ระยะเวลารับประกัน (Warranty Period): 1 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
G-Pen Dash,G-PEN,12.0,,ระยะเวลารับประกัน (Warranty Period): 1 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
G-Pen Micro+,G-PEN,12.0,,ระยะเวลารับประกัน (Warranty Period): 1 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Tinymight 2,Tinymight,,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",ในไฟล์ต้นทางไม่มีระยะประกัน (โปรดเติม)
Tinymight 2 Purple Heart,Tinymight,,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",ในไฟล์ต้นทางไม่มีระยะประกัน (โปรดเติม)
Fenix NEO,Fenix,24.0,,ระยะเวลารับประกัน (Warranty Period): 2 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Fenix Pro,Fenix,24.0,,ระยะเวลารับประกัน (Warranty Period): 2 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Fenix Mini+ (Plus),Fenix,24.0,,ระยะเวลารับประกัน (Warranty Period): 2 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Fenix 2.0,Fenix,24.0,,ระยะเวลารับประกัน (Warranty Period): 2 ปี,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Mighty+ (Plus),S&B,36.0,,"ประกันมาตรฐาน (Standard): 2 ปี
ประกันเมื่อลงทะเบียน (+1 Year): 1 ปี
รวมระยะเวลาสูงสุด: 3 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Crafty+ V2,S&B,36.0,,"ประกันมาตรฐาน (Standard): 2 ปี
ประกันเมื่อลงทะเบียน (+1 Year): 1 ปี
รวมระยะเวลาสูงสุด: 3 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Venty,S&B,36.0,,"ประกันมาตรฐาน (Standard): 2 ปี
ประกันเมื่อลงทะเบียน (+1 Year): 1 ปี
รวมระยะเวลาสูงสุด: 3 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Volcano Hybrid (Onyx/Gold),S&B,36.0,,"ประกันมาตรฐาน (Standard): 2 ปี
ประกันเมื่อลงทะเบียน (+1 Year): 1 ปี
รวมระยะเวลาสูงสุด: 3 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Volcano Classic (Onyx/Gold),S&B,36.0,,"ประกันมาตรฐาน (Standard): 3 ปี*
ประกันเมื่อลงทะเบียน (+1 Year): ไม่มี
รวมระยะเวลาสูงสุด: 3 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
PLENTY,S&B,36.0,,"ประกันมาตรฐาน (Standard): 3 ปี*
ประกันเมื่อลงทะเบียน (+1 Year): ไม่มี
รวมระยะเวลาสูงสุด: 3 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Veazy (New Model),S&B,24.0,,"ประกันมาตรฐาน (Standard): 2 ปี
ประกันเมื่อลงทะเบียน (+1 Year): ไม่มี
รวมระยะเวลาสูงสุด: 2 ปี",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Hooloo,Hooloo,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Stache,Hooloo,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMax V3 Pro,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMAX V3 Nano,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMAX TUNKE,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMAX OONT,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMAX RIGGO,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMax Carty,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMax Carty Pro,XMAX,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
XMAX Starry 4,XMAX,,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
